City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Kartuzy,PL,67.78,clear sky,54.3342,18.1974,Hotel Pod Orłem
404,Lapithos,CY,79.09,clear sky,35.3375,33.1792,Gillham Luxury Boutique & Vineyard
405,Salamiyah,SY,73.72,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
410,Sal Rei,CV,75.54,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
411,Maceio,BR,74.64,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
412,Shymkent,KZ,79.39,clear sky,42.3,69.6,Orbita Boutique Hotel
418,Blind River,CA,68.11,broken clouds,46.1834,-82.9582,Auberge Eldo Inn
420,Harfleur,FR,65.98,overcast clouds,49.5066,0.1983,Zenitude Hôtel-Résidences - Le Havre
422,Ariquemes,BR,77.81,clear sky,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
427,Sadovoye,RU,69.89,clear sky,47.7764,44.5089,Putnik
428,Terra Santa,BR,79.54,broken clouds,-2.1042,-56.4869,Hotel Sarah
429,Torbat-E Jam,IR,79.81,clear sky,35.244,60.6225,White building
431,Mwene-Ditu,CD,73.54,few clouds,-7.0,23.45,African'zuri
434,Abrego,CO,67.51,broken clouds,8.0807,-73.2205,Hotel Catatumbo
437,Hornepayne,CA,69.04,light rain,49.2138,-84.7705,Kay-Vee Lodge Ltd
438,Bay Roberts,CA,66.33,broken clouds,47.5999,-53.2648,Stonewall Inn
439,Quarai,BR,65.3,overcast clouds,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
440,Faya,SA,66.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
444,Derzhavinsk,KZ,67.71,broken clouds,51.1,66.3167,Ooo.khim Baza
446,Vila Do Maio,CV,77.02,scattered clouds,15.1333,-23.2167,Hotel Marilu
447,Safita,SY,73.83,clear sky,34.8205,36.1153,Safita Cham Hotel
452,Colchester,GB,68.99,broken clouds,51.8892,0.9042,North Hill Hotel
453,Iracoubo,GF,77.65,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
457,Le Port,RE,69.8,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
458,Tema,GH,73.96,clear sky,5.667,-0.0166,Beulah Royale Hotel Tema
459,Zaraza,VE,76.51,overcast clouds,9.3503,-65.3245,Hotel Zaraza
460,Loralai,PK,78.28,clear sky,30.3705,68.598,Saddam Hotel & Resturant
461,Gazanjyk,TM,79.68,clear sky,39.2446,55.5154,Railway motel
462,Reconquista,AR,68.52,overcast clouds,-29.15,-59.65,Grand Hotel
463,Sao Joao Da Barra,BR,68.56,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
