City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Miranda De Ebro,ES,42.6865,-2.947,64.85,94,0,2.89,clear sky
195,Mutis,CO,6.2262,-77.4044,79.12,88,85,8.72,light rain
196,Porto Torres,IT,40.835,8.3972,77.18,72,0,0.27,clear sky
197,Mattru,SL,7.6244,-11.8332,71.94,98,100,4.38,moderate rain
198,Ilebo,CD,-4.3167,20.5833,73.85,61,38,1.07,scattered clouds
199,Dalbandin,PK,28.8947,64.4101,85.15,56,57,6.73,broken clouds
200,Meulaboh,ID,4.1363,96.1285,75.22,84,98,3.13,overcast clouds
201,Tefe,BR,-3.3542,-64.7114,80.71,89,20,2.3,few clouds
202,Bibiani,GH,6.4635,-2.3194,66.43,89,50,2.46,scattered clouds
203,Coquimbo,CL,-29.9533,-71.3436,56.37,88,4,0.6,clear sky
204,Andros Town,BS,24.7,-77.7667,84.16,70,24,13.71,few clouds
205,Ancud,CL,-41.8697,-73.8203,40.23,68,75,10.67,broken clouds
206,State College,US,40.7934,-77.86,88.84,53,0,9.22,clear sky
207,Tiznit,MA,29.5833,-9.5,90.25,23,39,3.83,scattered clouds
208,Anloga,GH,5.7947,0.8973,75.29,75,37,11.14,scattered clouds
209,Mangan,IN,27.5167,88.5333,75.27,93,100,1.88,overcast clouds
210,Khash,IR,28.2211,61.2158,77.36,44,31,0.67,scattered clouds
211,Bikaner,IN,28.0167,73.3,88.66,65,22,17.87,few clouds
212,Tamandare,BR,-8.7597,-35.1047,74.23,90,39,11.59,light rain
213,Sorland,NO,67.667,12.6934,53.46,86,99,15.3,overcast clouds
214,Karachi,PK,24.9056,67.0822,84.02,79,75,17.27,broken clouds
215,Big Bend,SZ,-26.8167,31.9333,63.23,92,71,2.84,light rain
216,Boqueirao,BR,-7.5,-36.1333,67.77,96,57,7.07,broken clouds
217,Mogadishu,SO,2.0371,45.3438,75.02,83,97,19.44,light rain
218,Logansport,US,40.7545,-86.3567,86.68,61,0,13.96,clear sky
219,Berwick,US,41.0545,-76.2333,90.75,58,23,1.01,few clouds
220,Filingue,NE,14.3521,3.3168,88.21,50,68,11.9,light rain
221,Alghero,IT,40.5589,8.3181,77.09,83,0,1.14,clear sky
222,Bahia Blanca,AR,-38.7196,-62.2724,58.69,49,38,15.86,scattered clouds
223,La Asuncion,VE,11.0333,-63.8628,79.75,82,10,11.1,clear sky
224,Aksu,CN,41.1231,80.2644,72.19,35,0,11.56,clear sky
225,Kattivakkam,IN,13.2167,80.3167,82.08,82,76,11.34,broken clouds
226,Millerovo,RU,48.9226,40.3967,63.07,68,86,8.72,light rain
227,Victoria,HK,22.2855,114.1577,88.32,83,21,5.99,few clouds
228,Axim,GH,4.8699,-2.2405,73.08,76,55,8.1,broken clouds
229,Sabaudia,IT,41.3003,13.0282,80.2,91,0,8.55,clear sky
230,Sao Filipe,CV,14.8961,-24.4956,76.41,88,75,5.21,broken clouds
231,Ostrovnoy,RU,68.0531,39.5131,46.99,96,20,4.83,few clouds
232,Dudinka,RU,69.4058,86.1778,54.63,81,99,9.66,overcast clouds
233,Sibiti,CG,-3.6819,13.3499,65.3,92,49,3.0,scattered clouds
234,Mirabad,AF,30.4362,61.8383,91.04,16,5,19.6,clear sky
235,Pemba,MZ,-12.974,40.5178,72.88,67,63,7.7,broken clouds
236,Muravlenko,RU,63.7898,74.523,56.44,56,71,8.43,broken clouds
237,Cauquenes,CL,-35.9671,-72.3225,48.72,91,6,3.18,clear sky
238,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,8.05,broken clouds
239,Kerman,IR,30.2832,57.0788,78.21,13,0,1.99,clear sky
240,Sitarganj,IN,28.9333,79.7,78.76,88,100,6.13,overcast clouds
241,Barnala,IN,30.3833,75.55,78.84,88,100,8.63,moderate rain
242,Bamako,ML,12.65,-8.0,73.81,100,20,4.61,light rain
243,Severnyy,RU,50.677,36.5532,53.64,94,0,8.95,clear sky
244,Talara,PE,-4.5772,-81.2719,66.96,77,40,13.8,scattered clouds
245,General Roca,AR,-39.0333,-67.5833,58.55,49,4,24.36,clear sky
246,Camocim,BR,-2.9022,-40.8411,77.95,77,66,9.22,broken clouds
247,Hamilton,US,39.1834,-84.5333,92.95,68,75,13.8,broken clouds
248,Vardo,NO,70.3705,31.1107,51.78,93,100,4.61,mist
249,Vicuna,CL,-30.0319,-70.7081,46.13,53,30,1.23,scattered clouds
250,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,88,20,2.64,few clouds
251,Rorvik,NO,64.8621,11.2373,55.24,98,100,6.11,light rain
252,Krasnyy Yar,RU,46.5331,48.3456,64.33,87,99,2.21,light rain
253,Ashta,IN,23.0167,76.7167,74.64,93,96,13.2,overcast clouds
254,Talcahuano,CL,-36.7167,-73.1167,53.44,94,100,6.98,overcast clouds
255,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.9,70,82,13.73,broken clouds
256,Margate,GB,51.3813,1.3862,68.7,81,21,1.99,few clouds
257,Mehamn,NO,71.0357,27.8492,53.55,100,20,0.0,few clouds
258,Naryan-Mar,RU,67.6713,53.087,47.03,94,49,13.11,scattered clouds
259,Luderitz,NA,-26.6481,15.1594,56.34,61,5,15.61,clear sky
260,Namibe,AO,-15.1961,12.1522,62.56,80,1,5.35,clear sky
261,Rio Gallegos,AR,-51.6226,-69.2181,31.96,72,100,24.2,overcast clouds
262,Itapirapua,BR,-15.8233,-50.6133,75.45,27,2,3.4,clear sky
263,Henties Bay,NA,-22.116,14.2845,54.52,88,0,5.86,clear sky
264,Portobelo,PA,9.55,-79.65,78.96,85,100,7.99,overcast clouds
265,Chicama,PE,-7.8447,-79.1469,61.34,71,4,8.72,clear sky
266,Bengkulu,ID,-3.8004,102.2655,75.2,92,56,3.69,broken clouds
267,Vidalia,US,32.2177,-82.4135,80.55,78,0,4.61,clear sky
268,Lasa,IT,46.6166,10.7002,69.37,87,31,3.04,scattered clouds
269,Nanortalik,GL,60.1432,-45.2371,49.93,86,23,13.67,few clouds
270,Newport,GB,51.5877,-2.9984,66.02,74,100,4.54,overcast clouds
271,Moura,PT,38.1401,-7.4486,77.43,39,0,7.11,clear sky
272,Morondava,MG,-20.2833,44.2833,68.7,77,2,7.25,clear sky
273,Necochea,AR,-38.5473,-58.7368,56.98,59,24,15.88,few clouds
274,Sault Sainte Marie,CA,46.5168,-84.3333,66.76,96,100,18.41,light rain
275,Timra,SE,62.487,17.3257,56.68,100,20,2.3,fog
276,Hualmay,PE,-11.0964,-77.6139,63.05,79,30,11.59,scattered clouds
277,Klaksvik,FO,62.2266,-6.589,47.32,92,99,18.75,overcast clouds
278,Bollnas,SE,61.3482,16.3946,66.11,61,89,3.22,overcast clouds
279,Halifax,CA,44.6453,-63.5724,77.52,62,9,7.38,clear sky
280,Scarborough,GB,54.2797,-0.4044,63.97,84,94,11.83,overcast clouds
281,El Jicaro,GT,14.9167,-89.9,83.71,75,96,4.68,overcast clouds
282,Kudahuvadhoo,MV,2.6708,72.8944,80.78,70,100,17.98,moderate rain
283,Amalapuram,IN,16.5833,82.0167,79.47,86,53,3.87,broken clouds
284,Diebougou,BF,10.9667,-3.25,72.21,92,40,4.76,light rain
285,Saint George,US,37.1041,-113.5841,108.63,14,0,18.41,clear sky
286,Dosso,NE,13.049,3.1937,83.46,61,86,8.39,overcast clouds
287,Chia,CO,4.8588,-74.0587,58.91,87,86,3.22,overcast clouds
288,Fonte Boa,BR,-2.4959,-66.2662,73.92,97,70,2.08,broken clouds
289,Taoudenni,ML,22.6783,-3.9836,94.75,33,51,13.24,broken clouds
290,Shirak,AM,40.8404,43.9158,64.72,59,7,2.3,clear sky
291,Suez,EG,29.9737,32.5263,75.85,71,0,8.63,clear sky
292,Hofn,IS,64.2539,-15.2082,52.3,74,100,5.97,overcast clouds
293,Bilma,NE,18.6853,12.9164,91.17,23,71,6.31,broken clouds
294,Tocopilla,CL,-22.092,-70.1979,60.39,77,95,3.89,overcast clouds
295,Sokolo,ML,14.7328,-6.1219,81.16,68,100,1.66,overcast clouds
296,Paamiut,GL,61.994,-49.6678,50.09,84,92,14.05,overcast clouds
297,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,38,0,28.77,clear sky
298,Saint-Augustin,CA,51.226,-58.6502,56.3,87,100,15.55,overcast clouds
299,Ponta Delgada,PT,37.7333,-25.6667,70.52,88,75,3.44,broken clouds
300,Sarkikaraagac,TR,38.0794,31.3664,59.43,69,0,6.42,clear sky
301,Chhabra,IN,24.6667,76.8333,79.38,87,99,12.33,heavy intensity rain
302,Ous,RU,60.9058,61.5186,57.83,96,100,8.37,light rain
303,Aguadulce,PA,8.25,-80.55,78.08,89,100,6.51,overcast clouds
304,Parasia,IN,22.2,78.7667,71.49,97,100,7.72,overcast clouds
305,Marystown,CA,47.1666,-55.1483,61.86,100,88,5.99,overcast clouds
306,Sisimiut,GL,66.9395,-53.6735,46.33,93,100,5.1,light rain
307,Resistencia,AR,-27.4606,-58.9839,76.1,83,0,3.44,clear sky
308,Ajdabiya,LY,30.7554,20.2263,74.66,52,0,10.18,clear sky
309,Veraval,IN,20.9,70.3667,80.42,86,90,16.6,overcast clouds
310,Senneterre,CA,48.3835,-77.2328,70.12,92,100,9.86,heavy intensity rain
311,Mecca,SA,21.4267,39.8261,88.12,41,64,3.96,broken clouds
312,Kem,RU,64.9555,34.5793,55.58,89,2,6.64,clear sky
313,Rabat,MA,33.9911,-6.8401,72.16,78,40,0.0,scattered clouds
314,Lima,PE,-12.0432,-77.0282,57.45,82,100,9.22,overcast clouds
315,Waddan,LY,29.1614,16.139,77.95,54,0,10.09,clear sky
316,Bardiyah,LY,31.7561,25.0865,76.1,66,0,10.8,clear sky
317,Mangaluru,IN,12.8667,74.8833,74.26,94,100,3.44,mist
318,San Rafael,AR,-34.6177,-68.3301,59.5,18,0,9.89,clear sky
319,Raudeberg,NO,61.9875,5.1352,54.27,94,100,6.53,overcast clouds
320,Kolpashevo,RU,58.3131,82.9089,57.61,80,80,3.91,broken clouds
321,Bandarbeyla,SO,9.4942,50.8122,73.89,87,50,25.99,scattered clouds
322,El Cobre,CU,20.0489,-75.9469,83.64,74,40,8.05,scattered clouds
323,Uribia,CO,11.7139,-72.266,87.58,55,7,18.14,clear sky
324,Antalaha,MG,-14.9003,50.2788,66.65,86,38,9.69,light rain
