City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Odweyne,SO,2022-07-16 22:10:20,9.4092,45.064,71.47,57,76,18.99
203,Skierniewice,PL,2022-07-16 22:10:20,51.9548,20.1584,54.05,73,61,14.03
204,Salalah,OM,2022-07-16 22:10:20,17.0151,54.0924,77.59,95,100,10.2
205,Eydhafushi,MV,2022-07-16 22:10:21,5.1033,73.0708,82.15,73,41,7.05
206,Svetlyy,RU,2022-07-16 22:10:21,54.675,20.1347,57.96,90,92,7.4
207,Puerto Colombia,CO,2022-07-16 22:10:22,10.9878,-74.9547,84.29,81,53,17.29
208,Duvan,RU,2022-07-16 22:10:23,55.695,57.9024,58.42,94,0,5.37
209,East London,ZA,2022-07-16 22:08:04,-33.0153,27.9116,65.43,39,0,7.54
210,Brae,GB,2022-07-16 22:10:24,60.3964,-1.353,54.46,92,100,20.22
211,Kjollefjord,NO,2022-07-16 22:10:24,70.9457,27.3465,51.85,93,100,21.85
212,Wukari,NG,2022-07-16 22:10:25,7.85,9.7833,75.24,82,99,7.29
213,Shiraz,IR,2022-07-16 22:08:00,29.6036,52.5388,77.7,10,17,6.62
214,Moengo,SR,2022-07-16 22:10:26,5.6167,-54.4,75.09,97,59,3.22
215,Burla,IN,2022-07-16 22:10:26,21.5,83.8667,77.5,91,97,4.25
216,Faya,SA,2022-07-16 22:10:27,18.3851,42.4509,66.72,44,53,5.26
217,Hjelset,NO,2022-07-16 22:10:27,62.7833,7.4833,50.97,71,100,5.75
218,Quelimane,MZ,2022-07-16 22:10:28,-17.8786,36.8883,61.88,94,20,4.52
219,Namibe,AO,2022-07-16 22:10:28,-15.1961,12.1522,65.91,88,26,6.73
220,Lekoni,GA,2022-07-16 22:10:29,-1.5843,14.2591,84.78,36,88,8.61
221,Luderitz,NA,2022-07-16 22:10:29,-26.6481,15.1594,69.01,32,0,4.32
222,Zabol,AF,2022-07-16 22:10:30,32.25,67.25,74.86,49,28,9.62
223,Vila Velha,BR,2022-07-16 22:06:03,-20.3297,-40.2925,75.15,86,0,13.8
224,Shenkursk,RU,2022-07-16 22:10:30,62.1091,42.896,52.88,87,13,5.14
225,Birao,CF,2022-07-16 22:10:32,10.2849,22.7882,70.39,94,37,3.51
226,Shakawe,BW,2022-07-16 22:10:32,-18.3667,21.85,51.87,46,0,5.82
227,Saurimo,AO,2022-07-16 22:10:32,-9.6608,20.3916,65.88,35,21,6.78
228,Gandajika,CD,2022-07-16 22:10:33,-6.75,23.95,75.54,38,20,4.16
